epoch, wall, LR,training_loss_force_constant,training_loss_e,training_loss,training_f_mae,training_e/N_mae,training_force_constant_mae,validation_loss_force_constant,validation_loss_e,validation_loss,validation_f_mae,validation_e/N_mae,validation_force_constant_mae
        39, 1284.523,    0.005,             3212,           230.26,           3442.2,         2.75,         12.5,     3.21e+03,           3520.8,           35.529,           3556.3,         5.26,         4.73,     3.52e+03
        40, 1316.126,    0.005,           2807.1,            116.5,           2923.6,         2.97,         8.58,     2.81e+03,           3342.2,           24.041,           3366.2,          5.2,          3.9,     3.34e+03
        41, 1347.760,    0.005,             3012,           281.13,           3293.1,         2.97,         13.1,     3.01e+03,           3218.6,           23.675,           3242.3,         5.27,         3.84,     3.22e+03
        42, 1379.343,    0.005,           4022.8,            782.8,           4805.6,         2.53,         19.1,     4.02e+03,           3072.8,           32.593,           3105.4,         5.24,         4.72,     3.07e+03
        43, 1410.971,    0.005,           3576.3,           469.07,           4045.4,         2.57,         16.9,     3.58e+03,           3002.7,           28.481,           3031.1,         5.18,         4.28,        3e+03
        44, 1442.599,    0.005,           3040.8,           217.12,           3257.9,         2.38,           12,     3.04e+03,           2949.2,           27.715,           2976.9,         4.95,         4.36,     2.95e+03
        45, 1474.258,    0.005,           3299.9,           83.195,           3383.1,         2.52,         7.08,      3.3e+03,             2992,           29.507,           3021.5,         4.98,         4.36,     2.99e+03
        46, 1505.929,    0.005,           3524.3,           170.09,           3694.4,         2.65,         10.7,     3.52e+03,           2914.7,           24.676,           2939.4,          4.9,         4.13,     2.91e+03
        47, 1537.551,    0.005,           3362.7,           117.81,           3480.5,         2.82,          9.1,     3.36e+03,           2940.3,           23.899,           2964.2,         5.12,         3.96,     2.94e+03
        48, 1569.210,    0.005,           4921.8,           148.78,           5070.6,         2.87,         9.99,     4.92e+03,           2851.1,            23.34,           2874.4,         5.06,         3.52,     2.85e+03
        49, 1600.901,    0.005,           4277.7,            809.1,           5086.8,         2.95,         21.5,     4.28e+03,           2771.7,           18.577,           2790.3,         4.97,         3.48,     2.77e+03
        50, 1632.571,    0.005,           2871.9,           359.06,             3231,         2.49,         14.7,     2.87e+03,           2660.6,           16.643,           2677.3,         4.85,         2.83,     2.66e+03
        51, 1664.216,    0.005,           3392.1,           186.93,           3579.1,         2.24,         11.3,     3.39e+03,             2617,           19.951,             2637,         4.65,         2.85,     2.62e+03
        52, 1695.866,    0.005,           2603.4,            117.5,           2720.9,         2.43,          7.6,      2.6e+03,             2515,            19.35,           2534.4,         4.54,         2.91,     2.52e+03
        53, 1727.516,    0.005,           2552.3,           373.58,           2925.9,         1.93,         13.9,     2.55e+03,           2391.1,           16.352,           2407.4,         4.28,         2.89,     2.39e+03
        54, 1759.188,    0.005,           2536.8,           611.05,           3147.8,         2.24,         17.4,     2.54e+03,           2327.2,           22.634,           2349.8,          4.2,         3.51,     2.33e+03
        55, 1790.882,    0.005,           2438.8,           132.81,           2571.6,         2.47,         8.49,     2.44e+03,           2217.3,           20.683,             2238,         4.15,         2.82,     2.22e+03
        56, 1822.570,    0.005,           2530.4,           45.214,           2575.6,          2.2,         5.37,     2.53e+03,           2177.3,           19.136,           2196.4,         4.09,         2.77,     2.18e+03
        57, 1854.271,    0.005,           2040.5,            72.59,           2113.1,         2.11,         5.89,     2.04e+03,             2101,           18.312,           2119.3,         4.04,            3,      2.1e+03
        58, 1885.900,    0.005,           1964.8,           229.41,           2194.2,         2.01,         11.8,     1.96e+03,           2087.1,           21.762,           2108.9,         3.87,         3.04,     2.09e+03
        59, 1917.547,    0.005,           2535.3,           147.76,             2683,         2.22,          8.8,     2.54e+03,             2029,           17.505,           2046.5,         3.82,         2.83,     2.03e+03
        60, 1949.221,    0.005,           1981.5,           48.363,           2029.8,         1.91,         5.57,     1.98e+03,           1956.2,           21.467,           1977.7,         3.81,         3.08,     1.96e+03
        61, 1980.851,    0.005,           1625.3,           47.643,             1673,         1.78,         5.32,     1.63e+03,           1903.8,           22.727,           1926.5,         3.71,         2.91,      1.9e+03
        62, 2012.511,    0.005,           2040.8,           27.369,           2068.1,         2.06,         4.59,     2.04e+03,             1867,           20.794,           1887.8,         3.72,         2.93,     1.87e+03
        63, 2044.175,    0.005,           2595.2,           89.249,           2684.5,         2.08,         8.02,      2.6e+03,           1880.7,           21.577,           1902.2,         3.85,         2.94,     1.88e+03
        64, 2075.817,    0.005,           2504.6,           206.44,             2711,         2.03,         10.4,      2.5e+03,           1863.8,           16.368,           1880.2,         3.81,         3.55,     1.86e+03
        65, 2107.460,    0.005,           2059.3,           162.97,           2222.3,         1.95,         11.1,     2.06e+03,           1825.9,           19.492,           1845.4,         3.77,         3.64,     1.83e+03
        66, 2139.100,    0.005,           2044.9,           63.557,           2108.4,         1.95,         6.57,     2.04e+03,           1741.2,           20.303,           1761.5,         3.75,         3.65,     1.74e+03
        67, 2170.741,    0.005,           2476.8,           59.187,           2535.9,         2.05,          6.3,     2.48e+03,           1794.4,           15.644,           1810.1,         3.79,         3.17,     1.79e+03
        68, 2202.415,    0.005,             1948,            30.52,           1978.5,         1.66,         4.35,     1.95e+03,           1704.1,           12.298,           1716.4,         3.75,            3,      1.7e+03
        69, 2234.221,    0.005,           2364.9,           74.815,           2439.8,         2.09,         6.04,     2.36e+03,           1658.1,           13.132,           1671.3,         3.66,         3.09,     1.66e+03
        70, 2265.927,    0.005,           1975.4,           92.444,           2067.9,         1.67,         6.79,     1.98e+03,           1675.6,           8.0589,           1683.6,         3.52,         2.37,     1.68e+03
        71, 2297.551,    0.005,           1829.9,           55.327,           1885.2,         1.85,         5.72,     1.83e+03,           1634.3,           8.1115,           1642.4,         3.58,         2.43,     1.63e+03
        72, 2329.187,    0.005,           1502.5,           30.155,           1532.6,         1.78,         4.28,      1.5e+03,           1544.2,           8.3319,           1552.5,         3.51,          2.4,     1.54e+03
        73, 2360.671,    0.005,           1522.3,           31.044,           1553.3,         1.51,         4.31,     1.52e+03,           1529.3,            10.57,           1539.8,          3.4,         2.56,     1.53e+03
        74, 2392.108,    0.005,           1714.6,           52.769,           1767.4,         1.57,         6.29,     1.71e+03,           1491.8,           16.981,           1508.7,         3.43,         2.92,     1.49e+03
        75, 2423.488,    0.005,           1689.1,           22.513,           1711.6,          1.5,         3.75,     1.69e+03,           1450.7,           15.732,           1466.4,         3.19,         2.61,     1.45e+03
        76, 2454.853,    0.005,           1721.5,             23.7,           1745.2,          1.7,         3.35,     1.72e+03,           1521.5,           14.232,           1535.7,         3.25,         2.55,     1.52e+03
        77, 2486.209,    0.005,           1903.7,           118.89,           2022.6,         1.54,         7.88,      1.9e+03,           1525.4,           16.114,           1541.5,         3.26,         2.87,     1.53e+03
        78, 2517.499,    0.005,           1892.5,           115.28,           2007.8,         1.68,         8.42,     1.89e+03,             1505,           12.903,           1517.9,         3.27,         2.73,      1.5e+03
        79, 2548.956,    0.005,           2165.3,           261.34,           2426.6,         1.51,         13.1,     2.17e+03,           1508.9,           23.738,           1532.6,         3.26,         3.65,     1.51e+03
        80, 2580.238,    0.005,           2072.6,           904.05,           2976.7,         1.49,         26.4,     2.07e+03,           1466.7,           43.426,           1510.1,         3.12,          5.4,     1.47e+03
        81, 2611.500,    0.005,           1561.3,           1647.4,           3208.6,         1.41,         30.8,     1.56e+03,             1473,           14.463,           1487.5,         3.08,         3.22,     1.47e+03
        82, 2642.808,    0.005,           2057.4,           7141.2,           9198.6,         1.38,         59.1,     2.06e+03,           1406.7,           58.416,           1465.1,         2.98,          5.7,     1.41e+03
        83, 2674.158,    0.005,           2094.8,           3845.1,           5939.9,         1.49,         44.3,     2.09e+03,           1481.9,           88.436,           1570.3,         3.13,         7.58,     1.48e+03
        84, 2705.466,    0.005,           3160.8,            11620,            14781,         1.55,         85.4,     3.16e+03,           1463.8,           51.248,           1515.1,         3.07,         5.67,     1.46e+03
        85, 2736.794,    0.005,           2181.6,           4601.9,           6783.5,         1.74,         52.9,     2.18e+03,           1561.9,           66.351,           1628.3,         3.03,         7.01,     1.56e+03
        86, 2768.120,    0.005,             1800,           3062.2,           4862.1,         1.71,           41,      1.8e+03,           1544.4,           50.125,           1594.5,         2.89,         6.13,     1.54e+03
        87, 2799.404,    0.005,           1701.2,           2742.9,           4444.1,         1.64,         41.3,      1.7e+03,           1378.9,           16.284,           1395.2,         2.91,         3.52,     1.38e+03
        88, 2830.728,    0.005,           1549.6,           1132.5,           2682.1,          1.6,         26.9,     1.55e+03,           1308.3,            21.13,           1329.4,         2.81,         3.81,     1.31e+03
        89, 2862.087,    0.005,           1612.9,           1309.3,           2922.2,          1.7,         26.9,     1.61e+03,           1324.3,           15.946,           1340.2,         2.83,         3.67,     1.32e+03
        90, 2893.440,    0.005,           1810.8,           254.16,             2065,         1.35,           11,     1.81e+03,           1351.5,           15.229,           1366.7,         2.73,         3.45,     1.35e+03
        91, 2924.791,    0.005,             1509,           323.57,           1832.6,         1.31,         14.9,     1.51e+03,           1336.1,           5.3764,           1341.5,         2.64,         1.99,     1.34e+03
        92, 2956.184,    0.005,           1554.7,           1115.8,           2670.5,         1.39,         26.8,     1.55e+03,           1329.3,           7.6139,           1336.9,         2.65,         2.19,     1.33e+03
        93, 2987.552,    0.005,           1455.3,           233.83,           1689.1,         1.31,         12.9,     1.46e+03,           1331.1,           12.212,           1343.3,         2.56,         2.68,     1.33e+03
        94, 3018.929,    0.005,           1146.8,           149.82,           1296.7,         1.34,         9.61,     1.15e+03,           1262.2,            6.256,           1268.4,         2.52,         2.14,     1.26e+03
        95, 3050.302,    0.005,           1202.3,           42.251,           1244.6,         1.29,         5.26,      1.2e+03,             1235,           7.3943,           1242.4,         2.51,         1.97,     1.23e+03
        96, 3081.676,    0.005,             1161,           21.084,           1182.1,         1.19,         3.57,     1.16e+03,           1222.7,           6.7654,           1229.5,          2.5,         1.74,     1.22e+03
        97, 3113.023,    0.005,           1228.3,           43.916,           1272.2,         1.28,         5.44,     1.23e+03,           1162.5,           6.9807,           1169.5,         2.43,         1.82,     1.16e+03
        98, 3144.370,    0.005,           1151.2,           299.73,           1450.9,         1.14,         12.1,     1.15e+03,           1130.5,           8.0821,           1138.6,         2.39,         2.16,     1.13e+03
        99, 3175.761,    0.005,           1226.3,           259.53,           1485.9,         1.21,         12.5,     1.23e+03,             1110,           8.5531,           1118.5,         2.43,         2.67,     1.11e+03
       100, 3207.071,    0.005,             1028,           136.23,           1164.2,         1.29,         8.37,     1.03e+03,           1085.3,           10.207,           1095.5,         2.35,         2.75,     1.09e+03
       101, 3238.439,    0.005,           1105.2,           47.379,           1152.6,         1.01,         5.48,     1.11e+03,           1133.4,           9.8033,           1143.2,         2.26,         2.54,     1.13e+03
       102, 3269.813,    0.005,           1275.8,           50.475,           1326.3,         1.14,         5.12,     1.28e+03,           1141.7,            9.863,           1151.5,         2.23,         2.88,     1.14e+03
       103, 3301.173,    0.005,           1054.9,           27.507,           1082.4,         1.22,         4.21,     1.05e+03,           1069.4,           8.3943,           1077.8,         2.27,         2.61,     1.07e+03
       104, 3332.534,    0.005,           1128.6,           46.524,           1175.1,         1.15,         5.43,     1.13e+03,           1042.6,           8.5873,           1051.2,         2.23,         2.44,     1.04e+03
       105, 3363.841,    0.005,           1029.8,           66.504,           1096.3,         1.19,         6.54,     1.03e+03,           1035.8,           7.3138,           1043.1,         2.19,          2.2,     1.04e+03
