epoch, wall, LR,training_loss_force_constant,training_loss_e,training_loss,training_f_mae,training_e/N_mae,training_force_constant_mae,validation_loss_force_constant,validation_loss_e,validation_loss,validation_f_mae,validation_e/N_mae,validation_force_constant_mae
       392, 12330.685,    0.005,           279.21,           6.6748,           285.89,         0.23,         2.06,          279,           331.87,           0.3056,           332.18,        0.447,        0.372,          332
       393, 12361.933,    0.005,            238.4,           3.2168,           241.62,        0.241,         1.38,          238,           333.65,          0.23388,           333.89,        0.458,        0.396,          334
       394, 12393.182,    0.005,           380.63,           3.6782,            384.3,        0.245,         1.51,          381,           335.98,           0.1505,           336.13,        0.454,        0.327,          336
       395, 12424.422,    0.005,           430.08,           2.0437,           432.12,        0.213,         1.28,          430,           334.94,          0.18349,           335.12,        0.469,        0.377,          335
       396, 12455.612,    0.005,           392.81,           16.841,           409.65,        0.225,         3.56,          393,           349.44,          0.19124,           349.63,        0.488,        0.338,          349
       397, 12486.837,    0.005,           374.52,            100.9,           475.41,        0.225,         7.77,          375,            353.6,          0.50801,            354.1,        0.478,        0.587,          354
       398, 12518.078,    0.005,           279.84,           126.93,           406.77,        0.186,         9.29,          280,           340.26,          0.36523,           340.62,        0.477,        0.561,          340
       399, 12549.361,    0.005,           236.49,           148.88,           385.37,        0.246,         11.1,          236,           333.51,           0.3701,           333.88,        0.474,        0.542,          334
       400, 12580.609,    0.005,           233.89,           20.613,            254.5,        0.217,         3.56,          234,           328.87,          0.32514,           329.19,        0.468,        0.483,          329
       401, 12611.827,    0.005,           240.38,           10.233,           250.61,        0.214,         2.04,          240,           331.74,          0.23085,           331.97,        0.486,        0.385,          332
       402, 12643.070,    0.005,           280.44,             1.03,           281.47,        0.225,        0.762,          280,           328.13,          0.18878,           328.32,        0.482,        0.336,          328
       403, 12674.281,    0.005,            237.6,           1.0519,           238.65,        0.234,        0.809,          238,           325.18,          0.15595,           325.34,        0.468,        0.328,          325
       404, 12705.572,    0.005,           292.08,           5.8434,           297.92,        0.212,         1.95,          292,           329.17,           0.1716,           329.34,        0.479,        0.339,          329
       405, 12736.732,    0.005,           224.82,           17.759,           242.58,         0.21,         3.33,          225,           324.05,          0.14044,           324.19,        0.474,        0.342,          324
       406, 12767.922,    0.005,           323.66,           3.4884,           327.15,        0.252,         1.52,          324,            327.4,          0.21654,           327.62,        0.468,        0.365,          327
       407, 12799.075,    0.005,           309.54,           4.3185,           313.86,        0.236,         1.59,          310,           344.13,          0.20935,           344.34,        0.477,        0.353,          344
       408, 12830.222,    0.005,            292.4,           1.3204,           293.72,        0.246,        0.886,          292,           338.44,          0.16258,            338.6,         0.48,          0.3,          338
       409, 12861.473,    0.005,           287.02,          0.55362,           287.57,        0.215,        0.478,          287,           336.54,          0.12491,           336.67,        0.464,        0.269,          337
       410, 12892.656,    0.005,           287.86,             2.09,           289.95,        0.214,         1.11,          288,           333.22,          0.12445,           333.34,        0.475,        0.262,          333
       411, 12923.802,    0.005,           335.56,           3.7942,           339.35,        0.203,          1.3,          336,           336.06,          0.14854,           336.21,        0.479,        0.326,          336
       412, 12954.993,    0.005,           342.73,           8.1605,           350.89,        0.191,         2.54,          343,           332.29,          0.12182,           332.41,        0.473,        0.275,          332
       413, 12986.158,    0.005,           295.78,           1.5035,           297.28,          0.2,        0.917,          296,           339.87,            0.115,           339.98,        0.479,        0.285,          340
       414, 13017.358,    0.005,           303.38,           9.2428,           312.62,        0.207,         2.26,          303,           337.35,         0.066998,           337.42,        0.465,        0.202,          337
       415, 13048.566,    0.005,           297.94,           7.5204,           305.46,        0.241,         2.15,          298,           340.75,         0.055668,            340.8,        0.472,        0.196,          341
       416, 13079.744,    0.005,           276.82,           2.5211,           279.34,        0.202,         1.28,          277,            344.1,         0.062845,           344.16,        0.463,        0.218,          344
       417, 13110.951,    0.005,           227.75,           1.6975,           229.44,        0.205,         1.06,          228,           338.57,         0.066026,           338.63,        0.455,        0.221,          339
       418, 13142.154,    0.005,           236.31,           3.6744,           239.98,        0.209,         1.35,          236,           336.91,         0.066486,           336.97,        0.445,        0.219,          337
       419, 13173.352,    0.005,           267.82,           29.671,           297.49,        0.211,         4.51,          268,           329.66,          0.28028,           329.94,        0.442,        0.392,          330
       420, 13204.533,    0.005,           287.39,           74.287,           361.68,        0.215,         6.91,          287,           329.85,           1.2924,           331.14,        0.442,         1.02,          330
       421, 13235.725,    0.005,            281.2,           302.39,           583.59,        0.218,         14.1,          281,           328.71,          0.47012,           329.18,        0.434,        0.626,          329
       422, 13266.942,    0.005,           303.45,           703.82,           1007.3,        0.211,         21.1,          303,           340.46,           8.2783,           348.74,        0.432,         2.21,          340
       423, 13298.184,    0.005,           345.18,           641.46,           986.64,         0.16,         20.1,          345,           331.34,           12.945,           344.29,        0.443,         2.94,          331
       424, 13329.454,    0.005,           282.13,           665.04,           947.17,        0.186,         21.7,          282,           322.96,           17.457,           340.41,        0.445,          3.5,          323
       425, 13360.708,    0.005,           316.33,           1714.8,           2031.1,        0.272,           30,          316,           323.06,           11.378,           334.44,        0.453,         2.57,          323
       426, 13391.977,    0.005,           290.86,           652.32,           943.18,        0.221,         19.9,          291,           325.55,            4.241,           329.79,        0.487,         1.83,          326
       427, 13423.213,    0.005,           265.83,           693.19,           959.02,        0.241,         21.4,          266,            326.4,           5.6814,           332.08,        0.485,         2.29,          326
       428, 13454.501,    0.005,           291.33,           187.24,           478.57,         0.24,         9.42,          291,            324.7,           5.8919,           330.59,        0.475,          2.3,          325
       429, 13485.747,    0.005,           227.54,           51.282,           278.82,        0.218,         5.89,          228,           321.32,            4.284,           325.61,        0.461,         1.57,          321
       430, 13516.964,    0.005,           203.41,           27.171,           230.59,        0.213,         4.47,          203,           316.89,           3.3395,           320.23,        0.449,         1.54,          317
       431, 13548.246,    0.005,           219.77,           16.297,           236.07,        0.226,         2.62,          220,            318.7,           2.4557,           321.16,        0.449,         1.28,          319
       432, 13579.505,    0.005,           272.02,           2.8575,           274.87,        0.205,         1.18,          272,           321.84,            1.676,           323.52,        0.444,         1.03,          322
       433, 13610.778,    0.005,           218.94,           1.2375,           220.18,        0.218,        0.849,          219,           320.68,           1.1512,           321.83,        0.443,        0.866,          321
       434, 13641.962,    0.005,              221,           1.3331,           222.33,        0.205,        0.857,          221,           321.13,           0.7779,           321.91,        0.444,        0.765,          321
       435, 13673.074,    0.005,           315.63,           2.4748,            318.1,          0.2,         1.19,          316,           322.77,          0.60776,           323.38,        0.441,        0.692,          323
       436, 13704.244,    0.005,           255.02,           4.5264,           259.55,        0.183,         1.71,          255,           326.48,          0.40353,           326.89,        0.442,        0.557,          326
       437, 13735.387,    0.005,           252.52,           8.4809,              261,        0.172,         2.38,          253,           323.41,          0.28753,            323.7,        0.429,        0.451,          323
       438, 13766.543,    0.005,           277.86,           8.5046,           286.36,        0.216,         2.07,          278,           323.59,          0.23196,           323.82,        0.431,        0.401,          324
       439, 13797.694,    0.005,           248.92,           29.696,           278.62,         0.19,         4.09,          249,           326.94,          0.45685,            327.4,        0.432,        0.614,          327
       440, 13828.986,    0.005,           277.72,           77.003,           354.72,        0.224,         6.66,          278,           326.56,          0.28855,           326.85,        0.428,        0.421,          327
       441, 13860.145,    0.005,           267.58,           130.73,           398.31,        0.202,         9.32,          268,           330.86,           3.6904,           334.56,        0.435,         1.58,          331
       442, 13891.373,    0.005,           242.88,           205.94,           448.83,        0.194,         11.9,          243,           327.28,           4.0058,           331.28,         0.43,         1.61,          327
       443, 13922.557,    0.005,           255.15,           216.77,           471.92,        0.205,         12.4,          255,           328.91,          0.68022,           329.59,        0.432,        0.639,          329
       444, 13953.789,    0.005,           221.15,           118.53,           339.68,        0.215,         9.19,          221,           325.27,          0.13009,            325.4,        0.434,        0.288,          325
       445, 13985.054,    0.005,           229.64,           147.13,           376.77,        0.211,         8.32,          230,           325.44,          0.31984,           325.76,        0.443,        0.532,          325
       446, 14016.325,    0.005,           273.03,           65.781,           338.81,        0.196,         6.81,          273,            317.3,           1.6226,           318.92,        0.433,         1.05,          317
       447, 14047.547,    0.005,           238.93,           198.28,           437.21,        0.201,         10.9,          239,           318.29,           1.6317,           319.92,        0.431,        0.971,          318
       448, 14078.793,    0.005,           229.18,           175.52,            404.7,        0.213,         11.2,          229,           314.82,          0.82321,           315.64,        0.429,        0.765,          315
       449, 14110.028,    0.005,            240.9,            187.7,            428.6,        0.225,         11.9,          241,           319.05,           2.6054,           321.65,        0.429,         1.44,          319
       450, 14141.303,    0.005,           225.58,           25.647,           251.23,        0.209,         3.68,          226,           319.31,          0.66859,           319.98,        0.429,        0.678,          319
       451, 14172.601,    0.005,              211,           11.898,            222.9,        0.194,         2.95,          211,            318.4,          0.81894,           319.22,        0.431,        0.789,          318
       452, 14203.839,    0.005,           216.55,           6.1876,           222.74,        0.209,          1.9,          217,           313.36,          0.50877,           313.87,        0.437,        0.617,          313
       453, 14235.132,    0.005,           285.22,           5.7232,           290.94,        0.213,          1.8,          285,            316.7,           0.3922,           317.09,        0.455,        0.542,          317
       454, 14266.385,    0.005,           255.13,           5.1082,           260.24,        0.217,         1.76,          255,           315.23,          0.31842,           315.55,        0.457,        0.494,          315
       455, 14297.614,    0.005,           358.29,           5.1592,           363.45,         0.19,         1.92,          358,           323.47,          0.41735,           323.88,        0.454,        0.526,          323
       456, 14328.884,    0.005,           356.29,           20.341,           376.63,        0.214,         3.41,          356,           321.15,          0.66862,           321.81,        0.448,         0.67,          321
       457, 14360.118,    0.005,           280.73,           18.368,            299.1,        0.208,         3.08,          281,           322.86,          0.28813,           323.15,        0.444,        0.463,          323
       458, 14391.393,    0.005,           235.95,           3.2369,           239.19,        0.207,         1.54,          236,           320.38,          0.16195,           320.54,        0.437,        0.351,          320
       459, 14422.631,    0.005,           280.88,           5.3421,           286.22,        0.186,         1.88,          281,           330.06,           0.1905,           330.26,        0.434,        0.354,          330
       460, 14453.894,    0.005,           333.57,           5.2927,           338.86,        0.212,         1.83,          334,           328.96,          0.15499,           329.12,        0.431,        0.301,          329
       461, 14485.193,    0.005,           261.43,           3.2338,           264.67,        0.189,         1.46,          261,            325.9,          0.10248,              326,         0.42,        0.223,          326
       462, 14516.451,    0.005,           229.86,           6.8176,           236.68,        0.208,         1.99,          230,           325.41,         0.074797,           325.49,        0.428,        0.247,          325
       463, 14547.702,    0.005,           273.97,           4.2422,           278.21,        0.204,         1.73,          274,           324.35,         0.054243,           324.41,        0.432,        0.207,          324
       464, 14578.857,    0.005,            249.8,           9.5159,           259.31,        0.197,         2.64,          250,           323.41,          0.07881,           323.49,        0.436,        0.221,          323
       465, 14609.981,    0.005,           215.62,           16.653,           232.27,         0.19,         3.44,          216,            319.8,          0.12428,           319.92,        0.435,        0.271,          320
       466, 14641.118,    0.005,           216.22,           11.109,           227.33,        0.195,         2.53,          216,           316.41,         0.094538,           316.51,        0.432,        0.229,          316
       467, 14672.287,    0.005,           250.03,           2.9015,           252.93,        0.204,          1.4,          250,           316.46,         0.070124,           316.53,        0.427,        0.221,          316
       468, 14703.474,    0.005,           227.39,          0.42468,           227.82,        0.202,        0.505,          227,            315.1,         0.058165,           315.16,         0.42,        0.201,          315
       469, 14734.636,    0.005,           212.36,          0.85046,           213.21,        0.186,        0.684,          212,           317.16,         0.054522,           317.22,        0.423,        0.199,          317
       470, 14765.740,    0.005,            210.6,           1.8466,           212.45,        0.189,         1.08,          211,           318.02,         0.085683,           318.11,        0.426,        0.257,          318
       471, 14796.977,    0.005,           238.78,          0.63844,           239.42,        0.192,        0.623,          239,           315.77,         0.069576,           315.84,        0.421,        0.237,          316
       472, 14828.117,    0.005,            224.1,           1.4887,           225.59,        0.195,        0.937,          224,           310.86,         0.051446,           310.92,        0.416,        0.185,          311
       473, 14859.339,    0.005,           268.22,            1.596,           269.82,        0.212,        0.993,          268,           313.02,          0.04167,           313.06,         0.42,        0.178,          313
       474, 14890.506,    0.005,           233.53,           11.042,           244.57,        0.197,         2.23,          234,           320.01,          0.10625,           320.12,        0.412,        0.282,          320
       475, 14921.708,    0.005,           251.77,           43.017,           294.78,          0.2,         5.12,          252,           323.86,          0.87166,           324.73,          0.4,         0.79,          324
       476, 14952.913,    0.005,            239.2,           67.923,           307.12,        0.187,         6.55,          239,           317.22,          0.80887,           318.03,        0.401,        0.712,          317
       477, 14984.095,    0.005,            252.9,           144.23,           397.13,        0.205,         10.5,          253,           307.65,          0.44928,            308.1,        0.403,        0.453,          308
       478, 15015.258,    0.005,           250.25,           326.81,           577.07,        0.194,         14.5,          250,           309.46,           2.7916,           312.25,         0.41,          1.2,          309
       479, 15046.419,    0.005,           291.89,           412.79,           704.68,        0.159,         16.5,          292,           308.77,           3.0015,           311.77,        0.414,         1.37,          309
       480, 15077.580,    0.005,           328.37,           1710.1,           2038.5,          0.2,         29.2,          328,           311.16,           1.0123,           312.17,        0.396,        0.726,          311
       481, 15108.778,    0.005,           238.09,           1332.2,           1570.3,        0.235,         28.2,          238,           310.03,           3.1144,           313.14,        0.408,          1.6,          310
       482, 15139.982,    0.005,           251.75,           755.43,           1007.2,        0.198,         18.7,          252,           311.57,           3.9853,           315.56,          0.4,         1.77,          312
       483, 15171.202,    0.005,           276.76,           463.82,           740.58,        0.216,         16.3,          277,            310.7,           3.0852,           313.78,        0.394,         1.47,          311
       484, 15202.397,    0.005,           263.53,           4267.7,           4531.2,        0.176,           49,          264,              310,           17.331,           327.33,        0.393,         3.24,          310
       485, 15233.590,    0.005,           282.61,           1477.7,           1760.3,        0.253,           32,          283,            317.7,            10.69,           328.39,        0.409,         2.88,          318
       486, 15264.833,    0.005,           317.24,           1098.3,           1415.6,         0.24,         29.6,          317,           325.05,            17.46,           342.51,        0.439,         3.68,          325
       487, 15296.024,    0.005,           338.41,           1551.8,           1890.2,        0.221,         31.1,          338,           333.03,            7.162,           340.19,        0.457,         2.15,          333
       488, 15327.217,    0.005,           304.63,             1341,           1645.6,        0.197,         28.1,          305,           330.42,           16.676,           347.09,        0.444,         3.73,          330
       489, 15358.402,    0.005,           319.98,           1250.4,           1570.3,        0.173,           26,          320,           324.27,           14.977,           339.25,         0.45,         2.91,          324
       490, 15389.619,    0.005,           262.79,           344.86,           607.65,        0.201,         13.8,          263,           316.34,           3.5036,           319.85,        0.446,         1.55,          316
       491, 15420.792,    0.005,           217.98,           93.443,           311.42,          0.2,         6.61,          218,           311.46,           1.9679,           313.43,        0.432,         1.25,          311
       492, 15451.975,    0.005,           241.38,           53.079,           294.45,        0.189,         6.28,          241,           311.06,          0.91172,           311.97,         0.42,        0.773,          311
       493, 15483.208,    0.005,           243.62,           24.327,           267.95,        0.194,         3.63,          244,           312.64,          0.57353,           313.22,        0.423,        0.558,          313
       494, 15514.368,    0.005,           208.11,            15.43,           223.54,        0.194,         2.83,          208,           309.85,          0.24834,            310.1,        0.408,        0.425,          310
       495, 15545.564,    0.005,           214.41,           6.6919,            221.1,        0.192,         1.93,          214,           309.87,           0.3125,           310.18,        0.411,        0.493,          310
       496, 15576.720,    0.005,           236.76,           4.1211,           240.89,        0.188,         1.52,          237,           309.93,          0.17282,            310.1,        0.398,        0.369,          310
       497, 15607.917,    0.005,           194.88,            4.799,           199.68,         0.19,         1.71,          195,           312.12,          0.11471,           312.23,        0.397,        0.285,          312
       498, 15639.099,    0.005,           235.58,          0.86724,           236.45,        0.197,        0.766,          236,            314.2,         0.080773,           314.29,        0.389,        0.236,          314
       499, 15670.286,    0.005,           265.77,          0.34777,           266.12,        0.192,        0.449,          266,           319.38,         0.076373,           319.46,        0.395,        0.221,          319
       500, 15701.490,    0.005,           236.94,          0.49394,           237.44,        0.205,        0.522,          237,           320.53,         0.065935,            320.6,        0.398,        0.213,          321
       501, 15732.730,    0.005,           195.92,              1.1,           197.02,        0.178,        0.843,          196,           318.91,         0.061286,           318.97,        0.396,        0.201,          319
       502, 15764.014,    0.005,           253.78,          0.47344,           254.25,        0.195,        0.586,          254,           321.02,         0.063291,           321.08,        0.399,        0.192,          321
       503, 15795.373,    0.005,           239.05,           1.4213,           240.47,        0.195,         1.05,          239,           321.38,         0.061443,           321.44,        0.399,        0.219,          321
       504, 15826.671,    0.005,           250.04,           1.0893,           251.13,         0.19,        0.842,          250,           323.24,         0.095375,           323.34,         0.39,        0.227,          323
       505, 15857.967,    0.005,           202.95,          0.38973,           203.34,        0.181,        0.458,          203,           321.76,         0.075319,           321.83,        0.394,        0.214,          322
       506, 15889.257,    0.005,           227.02,          0.43944,           227.45,        0.179,        0.508,          227,           318.69,         0.078143,           318.76,        0.395,        0.229,          319
       507, 15920.567,    0.005,           205.28,          0.86879,           206.15,        0.176,        0.768,          205,           316.42,          0.11183,           316.53,        0.388,        0.278,          316
       508, 15951.873,    0.005,           238.94,          0.61308,           239.56,        0.193,        0.583,          239,           316.07,         0.083561,           316.15,        0.384,        0.233,          316
       509, 15983.157,    0.005,           221.16,          0.94568,           222.11,        0.173,        0.675,          221,           320.19,         0.068463,           320.26,        0.383,         0.21,          320
       510, 16014.453,    0.005,           282.03,           2.1605,           284.19,        0.205,         1.16,          282,           319.74,         0.074287,           319.82,        0.384,        0.226,          320
       511, 16045.774,    0.005,           252.04,           7.7458,           259.79,        0.189,         2.35,          252,           314.64,          0.20352,           314.84,        0.387,        0.356,          315
       512, 16077.019,    0.005,           247.23,           2.5363,           249.77,        0.188,         1.23,          247,           312.65,          0.18471,           312.84,        0.388,         0.33,          313
       513, 16108.277,    0.005,           197.26,           4.2464,            201.5,        0.183,         1.74,          197,           308.64,          0.13018,           308.77,        0.384,        0.214,          309
       514, 16139.586,    0.005,           235.61,           1.5222,           237.13,        0.177,         1.02,          236,           306.72,          0.12007,           306.84,         0.38,        0.216,          307
       515, 16170.857,    0.005,           269.83,           2.1615,           271.99,        0.169,         1.01,          270,           309.51,          0.10605,           309.62,        0.373,        0.211,          310
       516, 16202.114,    0.005,           257.84,          0.81495,           258.65,        0.188,        0.702,          258,           312.12,         0.099822,           312.22,        0.369,        0.239,          312
       517, 16233.401,    0.005,           245.81,          0.80413,           246.61,        0.173,        0.732,          246,           309.01,         0.099325,           309.11,        0.376,        0.222,          309
       518, 16264.716,    0.005,           214.55,          0.55808,           215.11,        0.175,         0.55,          215,           307.83,         0.091931,           307.93,        0.377,        0.213,          308
       519, 16296.017,    0.005,           207.59,          0.73822,           208.33,        0.181,        0.602,          208,           309.95,         0.080785,           310.03,        0.373,        0.219,          310
       520, 16327.357,    0.005,            198.1,          0.88578,           198.99,        0.182,        0.738,          198,            307.8,          0.10159,           307.91,        0.374,        0.257,          308
       521, 16358.632,    0.005,           239.19,          0.61466,           239.81,        0.178,        0.622,          239,           313.95,          0.12312,           314.08,        0.372,        0.295,          314
       522, 16389.865,    0.005,           199.72,           1.2159,           200.93,        0.165,        0.844,          200,           312.52,          0.10433,           312.63,        0.371,         0.26,          313
       523, 16421.157,    0.005,           205.02,            1.765,           206.78,        0.169,         1.01,          205,           311.37,          0.19389,           311.57,        0.366,        0.386,          311
       524, 16452.389,    0.005,           223.44,           5.1476,           228.58,        0.163,         1.71,          223,           310.77,          0.22693,              311,        0.373,         0.36,          311
       525, 16483.620,    0.005,           216.87,           2.3181,           219.18,        0.183,         1.28,          217,           311.93,          0.11616,           312.05,        0.369,        0.263,          312
       526, 16514.876,    0.005,           268.73,          0.94198,           269.68,        0.164,        0.802,          269,           313.29,          0.12699,           313.42,        0.364,        0.292,          313
       527, 16546.106,    0.005,            187.2,          0.67988,           187.88,        0.175,         0.68,          187,           311.08,          0.10133,           311.18,        0.362,        0.257,          311
       528, 16577.390,    0.005,           229.26,           1.8829,           231.14,        0.176,         1.13,          229,           310.95,          0.11548,           311.06,        0.364,        0.272,          311
       529, 16608.672,    0.005,           250.44,           1.1698,           251.61,        0.177,        0.879,          250,           308.59,          0.10211,           308.69,        0.357,        0.252,          309
       530, 16639.927,    0.005,           214.68,           1.7086,           216.39,        0.185,        0.897,          215,           308.21,         0.095493,            308.3,        0.366,        0.259,          308
       531, 16671.267,    0.005,            189.2,          0.97969,           190.18,        0.169,        0.762,          189,           309.46,         0.084743,           309.55,        0.364,        0.244,          309
       532, 16702.610,    0.005,           223.73,           4.5602,           228.29,         0.17,         1.51,          224,            307.6,          0.10759,           307.71,        0.367,        0.261,          308
       533, 16733.860,    0.005,           210.78,           2.8647,           213.64,         0.18,         1.37,          211,           307.91,         0.088953,              308,        0.361,        0.239,          308
       534, 16765.116,    0.005,           202.69,           1.0041,            203.7,         0.17,        0.781,          203,           309.31,         0.087475,            309.4,        0.362,        0.236,          309
       535, 16796.402,    0.005,           253.86,           2.3527,           256.22,        0.188,         1.22,          254,           313.14,         0.059199,            313.2,        0.381,        0.215,          313
       536, 16827.624,    0.005,           221.07,           1.2497,           222.32,        0.139,            1,          221,           316.32,         0.055662,           316.37,        0.382,        0.208,          316
       537, 16858.881,    0.005,           231.86,           2.9455,           234.81,        0.184,         1.28,          232,           320.41,         0.043871,           320.46,        0.374,        0.183,          320
       538, 16890.143,    0.005,           209.89,           5.4982,           215.39,        0.175,         1.71,          210,           315.77,         0.053517,           315.83,        0.369,         0.18,          316
       539, 16921.371,    0.005,           208.59,           2.1423,           210.73,        0.164,         1.24,          209,            312.1,         0.068889,           312.16,        0.368,        0.182,          312
       540, 16952.686,    0.005,           203.34,           3.8102,           207.15,        0.169,          1.5,          203,           312.17,         0.092449,           312.26,        0.364,        0.232,          312
       541, 16983.959,    0.005,           236.31,           1.2223,           237.53,         0.17,        0.903,          236,           309.41,         0.098726,           309.51,        0.366,        0.234,          309
       542, 17015.244,    0.005,            225.8,           2.7077,           228.51,        0.188,         1.34,          226,            311.1,         0.094729,           311.19,        0.355,        0.238,          311
       543, 17046.530,    0.005,            205.7,          0.80948,           206.51,        0.164,        0.749,          206,           308.82,           0.1094,           308.93,        0.356,        0.278,          309
       544, 17077.811,    0.005,           257.87,           0.9364,           258.81,        0.147,        0.807,          258,           305.58,           0.1093,           305.69,        0.345,        0.266,          306
       545, 17109.105,    0.005,            260.8,            7.167,           267.96,        0.166,         2.18,          261,           314.38,          0.22082,            314.6,        0.338,        0.373,          314
       546, 17140.390,    0.005,           317.75,           12.906,           330.66,        0.151,         2.74,          318,           306.98,          0.14684,           307.13,        0.356,        0.281,          307
       547, 17171.701,    0.005,           306.33,           12.201,           318.53,        0.177,         2.51,          306,           303.42,          0.13445,           303.55,        0.359,        0.279,          303
       548, 17203.037,    0.005,           280.04,           1.8916,           281.93,         0.17,        0.947,          280,           303.92,          0.12365,           304.04,        0.367,        0.273,          304
       549, 17234.328,    0.005,           236.92,          0.61697,           237.53,        0.173,        0.658,          237,           305.37,          0.11022,           305.48,        0.368,        0.269,          305
       550, 17265.651,    0.005,           230.27,          0.42078,           230.69,        0.147,        0.515,          230,           298.85,         0.092478,           298.94,        0.357,        0.253,          299
       551, 17296.976,    0.005,           224.27,           0.5748,           224.84,        0.157,        0.612,          224,           298.58,         0.079751,           298.66,        0.361,        0.238,          299
       552, 17328.290,    0.005,           220.95,          0.35363,            221.3,        0.166,        0.531,          221,           296.65,          0.08147,           296.73,        0.365,        0.238,          297
       553, 17359.621,    0.005,           239.49,          0.32217,           239.81,        0.171,        0.456,          239,           303.36,         0.086129,           303.45,        0.372,        0.268,          303
       554, 17390.970,    0.005,           240.88,          0.74238,           241.62,        0.164,         0.53,          241,           303.51,         0.084179,            303.6,        0.371,        0.262,          304
       555, 17422.251,    0.005,           185.85,          0.78965,           186.64,        0.154,        0.673,          186,           303.57,         0.084331,           303.66,        0.363,        0.265,          304
       556, 17453.552,    0.005,           214.79,            5.202,           219.99,        0.155,         1.31,          215,           302.21,          0.04225,           302.25,        0.367,        0.162,          302
       557, 17484.839,    0.005,            201.7,           20.404,            222.1,        0.153,         3.57,          202,           305.97,          0.23982,           306.21,        0.356,        0.418,          306
       558, 17516.127,    0.005,           215.86,           28.837,            244.7,        0.177,         4.14,          216,           303.13,          0.23575,           303.36,        0.355,        0.424,          303
       559, 17547.440,    0.005,           239.18,           5.2494,           244.43,        0.174,         1.81,          239,           302.98,           0.2372,           303.21,        0.351,        0.399,          303
       560, 17578.841,    0.005,           247.13,          0.54638,           247.67,        0.174,        0.592,          247,           306.52,          0.19305,           306.71,        0.357,        0.368,          307
       561, 17610.149,    0.005,            209.2,          0.50193,            209.7,        0.143,        0.612,          209,           307.23,          0.14224,           307.37,        0.351,        0.324,          307
       562, 17641.376,    0.005,           212.47,           1.5736,           214.04,         0.15,        0.956,          212,           305.07,         0.097352,           305.16,        0.346,        0.267,          305
       563, 17672.600,    0.005,           239.77,          0.81027,           240.58,        0.169,        0.697,          240,           303.39,          0.09626,           303.49,        0.341,        0.254,          303
       564, 17703.835,    0.005,           213.74,          0.35436,            214.1,        0.148,        0.476,          214,           303.42,          0.10053,           303.52,        0.344,         0.29,          303
       565, 17735.027,    0.005,            208.1,          0.31307,           208.41,        0.174,        0.474,          208,           304.42,          0.10202,           304.52,        0.341,         0.29,          304
       566, 17766.255,    0.005,           225.08,           1.5171,            226.6,         0.15,        0.963,          225,            301.5,          0.15221,           301.66,        0.343,        0.348,          302
       567, 17797.527,    0.005,           220.84,           3.5916,           224.43,         0.18,         1.48,          221,           301.29,         0.075464,           301.36,        0.343,        0.235,          301
       568, 17828.769,    0.005,           232.59,            2.462,           235.05,        0.168,          1.3,          233,            301.6,         0.093534,            301.7,        0.349,        0.272,          302
       569, 17860.061,    0.005,           214.79,           5.4055,            220.2,        0.153,         1.94,          215,           301.12,           0.1101,           301.23,         0.35,        0.306,          301
       570, 17891.333,    0.005,           227.36,           8.7108,           236.07,        0.173,         2.03,          227,           300.27,         0.061011,           300.33,        0.354,        0.211,          300
       571, 17922.678,    0.005,           227.52,           2.4512,           229.97,        0.155,         1.31,          228,            299.4,         0.072615,           299.47,        0.347,        0.227,          299
       572, 17953.982,    0.005,           244.17,           3.4413,           247.61,        0.147,         1.53,          244,           301.51,         0.092615,            301.6,        0.346,        0.276,          302
       573, 17985.295,    0.005,           231.11,           1.7468,           232.86,        0.179,         1.03,          231,           301.86,         0.054071,           301.92,        0.346,         0.22,          302
       574, 18016.587,    0.005,           188.14,           3.6644,            191.8,        0.168,         1.54,          188,           303.38,         0.036334,           303.42,        0.342,        0.157,          303
       575, 18047.895,    0.005,           224.96,           3.2837,           228.24,        0.145,         1.35,          225,           301.55,         0.051372,            301.6,        0.338,        0.174,          302
       576, 18079.211,    0.005,           229.05,           0.8781,           229.93,        0.162,        0.828,          229,           305.66,         0.048609,           305.71,        0.335,         0.18,          306
       577, 18110.527,    0.005,           223.39,          0.99615,           224.38,        0.155,        0.725,          223,           306.36,          0.06028,           306.42,        0.341,        0.207,          306
       578, 18141.807,    0.005,           210.43,          0.29471,           210.72,        0.169,        0.405,          210,           306.27,         0.057149,           306.32,        0.338,        0.193,          306
       579, 18173.182,    0.005,           181.65,          0.57011,           182.22,         0.17,        0.531,          182,           306.92,         0.061275,           306.98,        0.336,        0.209,          307
       580, 18204.443,    0.005,           186.14,          0.34613,           186.49,         0.16,        0.409,          186,           306.12,         0.052211,           306.17,        0.338,        0.193,          306
       581, 18235.671,    0.005,           183.71,          0.26571,           183.97,        0.158,        0.388,          184,           308.45,         0.054393,           308.51,        0.339,        0.196,          308
       582, 18266.897,    0.005,           195.09,          0.52221,           195.61,        0.162,        0.582,          195,           308.43,         0.046313,           308.48,         0.34,        0.187,          308
       583, 18298.121,    0.005,           208.39,          0.89208,           209.28,        0.161,        0.777,          208,           309.33,         0.043062,           309.37,        0.338,        0.183,          309
       584, 18329.347,    0.005,           218.56,           1.0303,           219.59,        0.173,        0.764,          219,           311.14,          0.04731,           311.19,        0.334,         0.17,          311
       585, 18360.546,    0.005,           228.28,           1.5239,           229.81,        0.156,         1.01,          228,           312.82,         0.058831,           312.88,        0.338,        0.194,          313
