epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    1,    79,           1890.4,           1886.3,           4.1518,          0.48497,           2.0376,           1886.3
    1,    80,           2108.4,           2048.9,           59.553,         0.073877,            7.717,           2048.9
    1,    81,             2035,           2013.8,           21.181,          0.26258,           4.6022,           2013.8
    1,    82,           4025.3,           2026.3,           1999.1,          0.36532,           44.711,           2026.3
    1,    83,           1688.7,           1684.3,            4.394,          0.39308,           2.0962,           1684.3
    1,    84,           1763.2,           1736.1,           27.063,          0.11678,           5.2022,           1736.1
    1,    85,           1917.6,           1890.6,            26.98,          0.10763,           5.1942,           1890.6
    1,    86,           1755.9,           1676.4,           79.526,          0.35904,           8.9177,           1676.4
    1,    87,           1994.8,           1989.8,           5.0283,          0.40688,           2.2424,           1989.8
    1,    88,           1873.6,           1868.6,           4.9675,          0.43804,           2.2288,           1868.6
    1,    89,           1029.7,            904.6,           125.12,          0.28152,           11.186,            904.6
    1,    90,           1614.9,           1537.5,           77.387,          0.66391,            8.797,           1537.5
    1,    91,           1617.8,           1492.5,            125.3,          0.15946,           11.194,           1492.5
    1,    92,           1491.9,           1471.5,           20.404,          0.23335,           4.5171,           1471.5
    1,    93,           2519.8,           2513.4,           6.4656,         0.080636,           2.5427,           2513.4
    1,    94,           1573.3,           1495.4,           77.873,          0.21937,           8.8246,           1495.4
    1,    95,           1764.1,           1759.7,           4.3786,          0.35712,           2.0925,           1759.7
    1,    96,           1927.3,           1689.2,           238.02,          0.52053,           15.428,           1689.2
    1,    97,           2177.2,           2172.6,           4.5451,          0.35117,           2.1319,           2172.6
    1,    98,           1952.1,           1947.4,            4.717,           0.3396,           2.1719,           1947.4
    1,    99,           1385.8,           1372.5,           13.339,         0.051691,           3.6522,           1372.5
    1,   100,           1358.8,           1337.4,           21.345,          0.26804,             4.62,           1337.4
    1,   101,           1793.2,           1772.5,           20.721,          0.31501,            4.552,           1772.5
    1,   102,           1316.7,           1056.7,           260.04,          0.62521,           16.126,           1056.7
    1,   103,           2281.5,           1967.6,           313.92,          0.22706,           17.718,           1967.6
    1,   104,           1859.5,           1620.9,            238.6,          0.37683,           15.447,           1620.9
    1,   105,           1978.9,           1958.9,           19.945,          0.32184,            4.466,           1958.9
    1,   106,           1665.3,           1660.6,           4.6747,           0.2083,           2.1621,           1660.6
    1,   107,           2104.1,           2083.2,           20.969,          0.39324,           4.5792,           2083.2
    1,   108,           1292.6,           1272.5,           20.032,          0.24362,           4.4757,           1272.5
    1,   109,           1701.3,           1680.8,           20.559,          0.20801,           4.5343,           1680.8
    1,   110,             1030,           761.06,           268.91,          0.22211,           16.398,           761.06
    1,   111,           1570.3,           1494.7,           75.601,          0.38007,           8.6949,           1494.7
    1,   112,           1690.3,           1669.8,           20.471,          0.32785,           4.5245,           1669.8
    1,   113,           1858.7,           1782.7,           75.983,          0.22364,           8.7168,           1782.7
    1,   114,           1076.2,             1047,           29.187,         0.053818,           5.4025,             1047
    1,   115,           1910.2,           1675.6,           234.69,          0.53791,            15.32,           1675.6
    1,   116,           1538.8,           1517.5,           21.291,          0.28884,           4.6142,           1517.5
    1,   117,           1768.3,             1747,           21.296,          0.43556,           4.6148,             1747
    1,   118,           3641.5,           55.632,           3585.9,        4.947e-05,           59.882,           55.632
    1,   119,           1058.2,           1030.9,           27.296,          0.56314,           5.2245,           1030.9
    1,   120,           1521.2,           1508.1,            13.07,          0.17495,           3.6152,           1508.1
    1,   121,           1813.9,           1809.9,           4.0553,          0.34396,           2.0138,           1809.9
    1,   122,           1703.6,           1571.2,            132.3,          0.21213,           11.502,           1571.2
    1,   123,           1762.4,           1758.6,           3.7367,          0.40788,           1.9331,           1758.6
    1,   124,           1650.6,           1575.9,           74.696,          0.43104,           8.6427,           1575.9
    1,   125,           1697.7,           1060.5,           637.18,           1.1172,           25.242,           1060.5
    1,   126,           1735.5,           1499.8,           235.78,           1.8061,           15.355,           1499.8
    1,   127,           1683.5,           1558.1,           125.38,          0.27015,           11.197,           1558.1
    1,   128,           1495.6,           1491.5,           4.1516,          0.33112,           2.0376,           1491.5
    1,   129,           510.72,           510.64,         0.088207,           0.0718,            0.297,           510.64
    1,   130,           1870.1,           1658.6,           211.45,          0.19256,           14.541,           1658.6
    1,   131,           1563.9,           1541.9,           21.955,          0.27721,           4.6856,           1541.9
    1,   132,             3545,           26.185,           3518.8,       1.8262e-07,            59.32,           26.185
    1,   133,           1781.6,           1652.2,            129.4,           0.1828,           11.375,           1652.2
    1,   134,           1961.7,           1833.1,           128.55,           0.1428,           11.338,           1833.1
    1,   135,           1252.8,           1038.4,           214.38,           0.2046,           14.642,           1038.4
    1,   136,           1784.6,           1556.6,           228.03,          0.29555,           15.101,           1556.6
    1,   137,             1495,           1491.3,           3.6546,          0.36083,           1.9117,           1491.3
    1,   138,           1370.4,           1366.6,           3.8631,          0.28302,           1.9655,           1366.6
    1,   139,           958.16,           936.66,           21.504,          0.24739,           4.6372,           936.66
    1,   140,           1852.2,           1824.3,           27.922,          0.08827,           5.2841,           1824.3
    1,   141,           1932.9,           1929.3,           3.6618,          0.35771,           1.9136,           1929.3
    1,   142,           1724.8,           1597.4,           127.39,          0.16525,           11.287,           1597.4
    1,   143,           818.13,           723.93,           94.198,          0.64414,           9.7056,           723.93
    1,   144,           969.33,           965.27,           4.0567,          0.25338,           2.0141,           965.27
    1,   145,           1208.5,           1197.5,           11.013,         0.072572,           3.3186,           1197.5
    1,   146,           335.23,           330.47,           4.7585,       2.0972e-06,           2.1814,           330.47
    1,   147,           1245.9,           1235.4,            10.49,         0.062697,           3.2389,           1235.4
    1,   148,           1749.7,           1541.6,           208.12,         0.097922,           14.426,           1541.6
    1,   149,           1152.2,           1123.7,           28.575,          0.42986,           5.3455,           1123.7
    1,   150,             1051,           1022.1,           28.824,          0.31523,           5.3688,           1022.1
    1,   151,           1275.5,           1271.1,           4.4315,          0.47796,           2.1051,           1271.1
    1,   152,           1660.8,           1585.3,           75.503,          0.42954,           8.6892,           1585.3
    1,   153,           1523.4,           1503.3,           20.164,          0.24494,           4.4905,           1503.3
    1,   154,             1753,             1733,            19.97,           0.2156,           4.4688,             1733
    1,   155,           1462.5,           1462.2,          0.26355,          0.25199,          0.51337,           1462.2
    1,   156,           1270.4,           1249.8,           20.515,          0.36778,           4.5293,           1249.8
    1,   157,           1331.2,           1257.4,           73.802,          0.57065,           8.5908,           1257.4
    1,   158,           1359.7,           1338.7,           20.989,          0.25309,           4.5813,           1338.7
    1,   159,           2137.2,           2012.7,           124.54,         0.098047,            11.16,           2012.7
    1,   160,           1395.2,           1391.3,            3.906,          0.45411,           1.9763,           1391.3
    1,   161,           869.38,           848.26,           21.127,          0.14122,           4.5964,           848.26
    1,   162,           1600.9,           1526.4,           74.503,          0.37168,           8.6315,           1526.4
    1,   163,           1699.9,           1679.9,           20.069,          0.29972,           4.4799,           1679.9
    1,   164,           1320.9,             1316,           4.8322,          0.49538,           2.1982,             1316
    1,   165,           1679.7,           1675.2,           4.4847,          0.43122,           2.1177,           1675.2
    1,   166,           718.03,           433.49,           284.53,       7.2291e-07,           16.868,           433.49
    1,   167,           1713.1,           1694.6,           18.488,             0.51,           4.2998,           1694.6
    1,   168,           1767.2,           1464.8,           302.35,          0.12441,           17.388,           1464.8
    2,     1,           1925.2,           1871.8,           53.414,          0.12523,           7.3085,           1871.8
    2,     2,           671.18,           666.82,           4.3592,          0.61816,           2.0879,           666.82
    2,     3,           1307.2,           1286.5,           20.617,           0.2631,           4.5406,           1286.5
    2,     4,           1218.8,           1197.9,           20.958,          0.26801,            4.578,           1197.9
    2,     5,           1658.8,             1638,           20.762,          0.31511,           4.5565,             1638
    2,     6,           3264.4,             1297,           1967.4,          0.39355,           44.355,             1297
