,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf
Na,0.0349108728516819,0.0,0.19200980068425044,0.01745543642584095,0.0,0.0,0.0,0.0,0.0,0.0,0.9123701313342536,0.05236630927752285,0.01745543642584095,0.01745543642584095,0.0,0.0,0.01745543642584095,0.0,0.21019128863585995,0.06531226264211071,0.0,0.0,0.0,0.01745543642584095,0.0349108728516819,0.030233702757845014,0.01745543642584095,0.030233702757845014,0.0461827438088733,0.0349108728516819,0.01745543642584095,0.01745543642584095,0.0,0.0,0.01745543642584095,0.0,0.13407775127953903,0.05236630927752285,0.0349108728516819,0.0,0.0,0.0,0.0,0.01745543642584095,0.0,0.01745543642584095,0.09400040193361238,0.0349108728516819,0.030233702757845014,0.01745543642584095,0.0,0.0,0.0,0.0,0.0923654876177466,0.04937142986113124,0.042756912480901264,0.0349108728516819,0.02468571493056562,0.030233702757845014,0.0,0.02468571493056562,0.042756912480901264,0.030233702757845014,0.030233702757845014,0.0349108728516819,0.0349108728516819,0.030233702757845014,0.030233702757845014,0.03903154242510633,0.02468571493056562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01745543642584095,0.06760461457806431,0.030233702757845014,0.01745543642584095,0.0,0.0,0.0,0.0,0.0,0.0,0.02468571493056562,0.01745543642584095,0.030233702757845014,0.0,0.02468571493056562,0.01745543642584095,0.01745543642584095,0.0,0.0
Mg,0.0,0.0,0.0937271201949003,0.06898129268757723,0.0,0.0,0.027056689037447044,0.0331375411354503,0.027056689037447044,0.0,0.057395904884503586,0.6874209657752728,0.10652229126277356,0.042780381650620744,0.027056689037447044,0.05061843019930463,0.0,0.0,0.0,0.14444319304684994,0.0994126234063509,0.08117006711234113,0.07409779458606244,0.04686356009745015,0.2069438780627317,0.1845020206057741,0.17845112031759888,0.17947377121306815,0.11155758678088559,0.20337561265870735,0.0331375411354503,0.0331375411354503,0.019131968294834528,0.027056689037447044,0.0,0.019131968294834528,0.019131968294834528,0.08973688560653408,0.07158527049389246,0.0662750822709006,0.05061843019930463,0.019131968294834528,0.0,0.07158527049389246,0.08339431638820789,0.07158527049389246,0.08973688560653408,0.193223408274268,0.1047901060455452,0.060500595933804954,0.019131968294834528,0.027056689037447044,0.019131968294834528,0.0,0.019131968294834528,0.060500595933804954,0.06898129268757723,0.06345356033494173,0.07158527049389246,0.0662750822709006,0.0,0.07888312610557097,0.060500595933804954,0.08117006711234113,0.08117006711234113,0.08339431638820789,0.08556076330124149,0.07888312610557097,0.07409779458606244,0.10123686039860925,0.07888312610557097,0.057395904884503586,0.04686356009745015,0.019131968294834528,0.027056689037447044,0.05061843019930463,0.06898129268757723,0.060500595933804954,0.06898129268757723,0.09565984147417264,0.07158527049389246,0.05061843019930463,0.027056689037447044,0.0,0.0,0.0,0.0,0.027056689037447044,0.019131968294834528,0.04686356009745015,0.038263936589669055,0.057395904884503586,0.057395904884503586,0.0662750822709006,0.042780381650620744,0.04686356009745015,0.027056689037447044,0.019131968294834528
Al,0.0,0.0,0.03232963225131235,0.04276808345757286,0.04849444837696852,0.016164816125656175,0.0,0.0,0.0,0.0,0.016164816125656175,0.09000188715612852,0.7587138595471493,0.09425626521772074,0.0,0.05828307339950048,0.0,0.0,0.016164816125656175,0.02286050219817027,0.09000188715612852,0.07919110258754182,0.08553616691514572,0.11199313129858075,0.107225259787776,0.177076688598903,0.11656614679900096,0.11543987742192889,0.06664924430476805,0.0983267378383018,0.2738493517757356,0.08553616691514572,0.02286050219817027,0.0,0.0,0.0,0.016164816125656175,0.016164816125656175,0.0646592645026247,0.05828307339950048,0.03614562770075199,0.03614562770075199,0.0,0.06048320366240394,0.10843688310225595,0.08242471285836014,0.06048320366240394,0.07046079993265195,0.20447054765956837,0.14184568583137483,0.0646592645026247,0.02799828282464519,0.0,0.0,0.016164816125656175,0.02286050219817027,0.03614562770075199,0.03614562770075199,0.03959555129377091,0.03614562770075199,0.0,0.04276808345757286,0.02799828282464519,0.04276808345757286,0.04276808345757286,0.04849444837696852,0.051117636914892094,0.051117636914892094,0.04572100439634054,0.051117636914892094,0.04849444837696852,0.04849444837696852,0.02799828282464519,0.02286050219817027,0.02799828282464519,0.053612629893888,0.10094924434920097,0.10475998174781964,0.06048320366240394,0.053612629893888,0.10475998174781964,0.08399484847393555,0.02286050219817027,0.0,0.0,0.0,0.0,0.0,0.0,0.03232963225131235,0.016164816125656175,0.03614562770075199,0.03614562770075199,0.04276808345757286,0.02286050219817027,0.02286050219817027,0.02286050219817027,0.0
Si,0.0,0.0,0.013975424859373684,0.02420614591379635,0.08615030470056387,0.050389110926865925,0.0,0.013975424859373684,0.0,0.0,0.013975424859373684,0.031249999999999993,0.0814900300650331,0.8557023796274028,0.1055121438508383,0.013975424859373684,0.0,0.0,0.0,0.013975424859373684,0.02420614591379635,0.06846531968814576,0.03423265984407288,0.03423265984407288,0.04419417382415921,0.04635124054434789,0.052291251658379716,0.06404344228724748,0.03697549864437259,0.03952847075210473,0.10643366478703999,0.340036762718386,0.08267972847076845,0.0,0.0,0.0,0.0,0.013975424859373684,0.019764235376052364,0.04192627457812105,0.019764235376052364,0.013975424859373684,0.013975424859373684,0.03697549864437259,0.06404344228724748,0.055901699437494734,0.027950849718747367,0.04192627457812105,0.0541265877365274,0.1485608040500589,0.07261843774138906,0.019764235376052364,0.0,0.0,0.0,0.013975424859373684,0.019764235376052364,0.027950849718747367,0.02420614591379635,0.019764235376052364,0.0,0.02420614591379635,0.013975424859373684,0.019764235376052364,0.02420614591379635,0.013975424859373684,0.013975424859373684,0.013975424859373684,0.013975424859373684,0.02420614591379635,0.013975424859373684,0.031249999999999993,0.019764235376052364,0.0,0.013975424859373684,0.031249999999999993,0.0592927061281571,0.0712609640686961,0.0592927061281571,0.03952847075210473,0.04419417382415921,0.09164298936634485,0.04192627457812105,0.013975424859373684,0.0,0.0,0.0,0.0,0.0,0.027950849718747367,0.019764235376052364,0.02420614591379635,0.013975424859373684,0.019764235376052364,0.013975424859373684,0.013975424859373684,0.013975424859373684,0.013975424859373684
P,0.0,0.0,0.014133657971481209,0.0,0.05288330575112906,0.050959628526045846,0.10481801286522649,0.05288330575112906,0.0,0.0,0.0,0.019988010789211332,0.0,0.10670677764942776,0.9130168018079077,0.0904995679207773,0.0,0.0,0.0,0.0,0.0,0.014133657971481209,0.07869287717004153,0.048960427406812654,0.014133657971481209,0.0,0.0,0.0,0.014133657971481209,0.03462025022914892,0.014133657971481209,0.10947884388907685,0.24439379290151678,0.07995204315684533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014133657971481209,0.0,0.019988010789211332,0.04240097391444362,0.14482689737668034,0.07611207750409664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014133657971481209,0.014133657971481209,0.0,0.0,0.08480194782888724,0.039976021578422664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.012834231939280854,0.0,0.018150344871172935,0.012834231939280854,0.022229541794957685,0.040585404947007346,0.07700539163568512,0.10814316054406416,0.03395618597985937,0.0,0.0,0.03395618597985937,0.046274481338274755,0.012834231939280854,0.08217918159924405,0.9017817608820855,0.022229541794957685,0.0,0.0,0.022229541794957685,0.018150344871172935,0.012834231939280854,0.012834231939280854,0.040585404947007346,0.03630068974234587,0.04445908358991537,0.04256633181498994,0.04445908358991537,0.0,0.022229541794957685,0.012834231939280854,0.02566846387856171,0.08217918159924405,0.28000988287615536,0.022229541794957685,0.0,0.0,0.018150344871172935,0.018150344871172935,0.012834231939280854,0.012834231939280854,0.022229541794957685,0.0,0.022229541794957685,0.04256633181498994,0.012834231939280854,0.0,0.022229541794957685,0.02566846387856171,0.03143731949176871,0.08317532926170347,0.15978489906134685,0.012834231939280854,0.0,0.0,0.012834231939280854,0.022229541794957685,0.018150344871172935,0.022229541794957685,0.022229541794957685,0.0,0.022229541794957685,0.018150344871172935,0.022229541794957685,0.022229541794957685,0.022229541794957685,0.022229541794957685,0.022229541794957685,0.012834231939280854,0.018150344871172935,0.018150344871172935,0.0,0.012834231939280854,0.018150344871172935,0.012834231939280854,0.012834231939280854,0.04256633181498994,0.040585404947007346,0.0,0.022229541794957685,0.018150344871172935,0.022229541794957685,0.048021298739180256,0.0544510346135188,0.0,0.0,0.0,0.012834231939280854,0.012834231939280854,0.012834231939280854,0.0,0.012834231939280854,0.018150344871172935,0.018150344871172935,0.012834231939280854,0.018150344871172935,0.012834231939280854,0.0
Cl,0.06213697660012,0.0,0.017233696556464517,0.0,0.0,0.017233696556464517,0.017233696556464517,0.04221376294529761,0.0974885095998985,0.0,0.017233696556464517,0.0,0.0,0.0,0.0,0.029849638038021348,0.9287027847965474,0.0,0.017233696556464517,0.017233696556464517,0.0,0.0,0.0,0.0,0.029849638038021348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024372127399974627,0.290938283223581,0.0,0.017233696556464517,0.0,0.017233696556464517,0.0,0.0,0.0,0.0,0.0,0.0,0.017233696556464517,0.0,0.0,0.0,0.0,0.017233696556464517,0.024372127399974627,0.17405180347824692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017233696556464517,0.017233696556464517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024372127399974627,0.0,0.0,0.0,0.017233696556464517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.03221618722401402,0.0,0.0882276622970111,0.01610809361200701,0.0,0.01610809361200701,0.0,0.0,0.01610809361200701,0.0,0.19396713271302243,0.0,0.01610809361200701,0.0,0.0,0.0,0.01610809361200701,0.0,0.885505728042136,0.03945661007840241,0.0,0.0,0.0,0.01610809361200701,0.01610809361200701,0.0,0.0,0.02278028445007573,0.04261800979271871,0.0,0.01610809361200701,0.0,0.0,0.0,0.01610809361200701,0.0,0.28406932502806304,0.050938264577150755,0.01610809361200701,0.0,0.0,0.0,0.0,0.0,0.0,0.01610809361200701,0.05580007309814364,0.0,0.03221618722401402,0.0,0.0,0.0,0.0,0.0,0.2069122088451401,0.06641537138964201,0.02790003654907182,0.02278028445007573,0.02278028445007573,0.02278028445007573,0.0,0.02278028445007573,0.04261800979271871,0.01610809361200701,0.01610809361200701,0.01610809361200701,0.01610809361200701,0.01610809361200701,0.01610809361200701,0.02278028445007573,0.01610809361200701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1395001827453591,0.01610809361200701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02278028445007573,0.0,0.0,0.01610809361200701,0.01610809361200701,0.01610809361200701,0.0,0.0,0.0
Ca,0.0,0.0,0.05266076197092904,0.03723678189209458,0.0,0.0,0.0,0.0,0.0,0.0,0.062309053851766875,0.1257258460013112,0.023550608702786628,0.016652795114811342,0.0,0.028843487226888048,0.016652795114811342,0.0,0.04079085082240021,0.7076948118754351,0.06449599814746856,0.033305590229622685,0.023550608702786628,0.023550608702786628,0.08967804619270346,0.07631269414621382,0.06004250666624854,0.06661118045924537,0.033305590229622685,0.06661118045924537,0.0,0.023550608702786628,0.016652795114811342,0.028843487226888048,0.0,0.0,0.023550608702786628,0.276155365532463,0.12008501333249708,0.04995838534443403,0.028843487226888048,0.0,0.0,0.0,0.016652795114811342,0.028843487226888048,0.016652795114811342,0.12123417839950039,0.028843487226888048,0.047101217405573256,0.016652795114811342,0.0,0.0,0.0,0.033305590229622685,0.18987107749118873,0.13630900265244505,0.13112423985832994,0.1352879470572615,0.1321774635237064,0.016652795114811342,0.11537394890755219,0.185437678363513,0.12123417839950039,0.11046214621298522,0.11775304351393313,0.11537394890755219,0.11416581143839244,0.09710164722917977,0.1690074118759178,0.09121111529894006,0.028843487226888048,0.033305590229622685,0.0,0.0,0.0,0.0,0.023550608702786628,0.016652795114811342,0.06449599814746856,0.016652795114811342,0.08653046168066414,0.033305590229622685,0.0,0.0,0.0,0.0,0.028843487226888048,0.0,0.09566302477699622,0.028843487226888048,0.09566302477699622,0.07065182610835989,0.07631269414621382,0.047101217405573256,0.047101217405573256,0.023550608702786628,0.023550608702786628
